rssi0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,x,y,label
-72,-81,-57,-83,-86,-84,-84,-83,-93,-86,-86,-89,0,3,K-11
-80,-82,-68,-88,-76,-79,-90,-92,-92,-81,-84,-90,0,3,K-11
-74,-89,-59,-87,-88,-81,-94,-85,-85,-70,-89,-89,0,3,K-11
-85,-77,-70,-86,-84,-74,-84,-85,-88,-69,-90,-97,0,3,K-11
-78,-77,-56,-78,-81,-95,-84,-92,-92,-85,-93,-89,0,3,K-11
-82,-79,-69,-87,-76,-76,-87,-91,-86,-73,-86,-89,0,3,K-11
-74,-79,-60,-83,-85,-76,-81,-86,-92,-81,-89,-91,0,3,K-11
-85,-80,-60,-81,-75,-85,-96,-81,-91,-80,-98,-94,0,3,K-11
-84,-80,-67,-83,-83,-81,-88,-86,-93,-80,-93,-100,0,3,K-11
-81,-84,-67,-78,-80,-81,-90,-85,-90,-69,-89,-88,0,3,K-11
-81,-81,-70,-88,-78,-72,-82,-82,-81,-69,-86,-85,0,3,K-11
-80,-83,-70,-87,-75,-80,-89,-91,-86,-72,-86,-89,0,3,K-11
-76,-78,-57,-90,-84,-87,-84,-95,-92,-86,-91,-99,0,3,K-11
-80,-84,-68,-83,-82,-80,-89,-83,-92,-81,-93,-92,0,3,K-11
-77,-80,-57,-91,-86,-85,-84,-87,-94,-83,-93,-97,0,3,K-11
-89,-79,-57,-83,-83,-84,-87,-91,-93,-85,-87,-88,0,3,K-11
-78,-77,-58,-79,-81,-90,-84,-91,-92,-85,-93,-89,0,3,K-11
-73,-82,-57,-83,-86,-79,-85,-94,-93,-87,-87,-97,0,3,K-11
-80,-76,-72,-85,-82,-74,-86,-84,-94,-84,-90,-98,0,3,K-11
-71,-83,-56,-78,-79,-81,-91,-82,-90,-86,-89,-88,0,3,K-11
-80,-77,-70,-86,-83,-74,-88,-84,-87,-80,-95,-99,0,3,K-11
-81,-75,-72,-78,-82,-74,-90,-85,-94,-78,-91,-89,0,3,K-11
-81,-82,-68,-82,-77,-83,-90,-86,-86,-77,-92,-93,0,3,K-11
-79,-80,-70,-85,-80,-76,-80,-83,-84,-82,-85,-82,0,3,K-11
-80,-75,-71,-85,-82,-75,-88,-84,-93,-70,-93,-95,0,3,K-11
-91,-80,-57,-82,-86,-78,-85,-91,-93,-86,-92,-88,0,3,K-11
-74,-80,-60,-83,-82,-76,-82,-90,-95,-84,-89,-90,0,3,K-11
-84,-76,-71,-85,-81,-80,-92,-79,-84,-74,-98,-90,0,3,K-11
-82,-75,-71,-94,-86,-74,-89,-87,-93,-82,-92,-94,0,3,K-11
-81,-84,-67,-79,-80,-80,-85,-89,-88,-68,-91,-89,0,3,K-11
-79,-79,-69,-86,-74,-80,-91,-91,-86,-73,-91,-89,0,3,K-11
-83,-87,-70,-87,-76,-76,-91,-78,-92,-82,-92,-95,0,3,K-11
-81,-80,-69,-85,-78,-76,-88,-85,-87,-74,-92,-88,0,3,K-11
-77,-80,-83,-83,-86,-85,-84,-87,-94,-86,-93,-97,0,3,K-11
-87,-84,-60,-92,-85,-80,-85,-81,-91,-78,-89,-90,0,3,K-11
-72,-88,-56,-82,-77,-74,-82,-86,-92,-94,-97,-87,0,3,K-11
-73,-75,-70,-78,-86,-74,-90,-82,-94,-80,-86,-92,0,3,K-11
-77,-80,-57,-83,-85,-83,-83,-94,-94,-86,-92,-98,0,3,K-11
-73,-81,-59,-83,-87,-78,-84,-83,-95,-86,-87,-88,0,3,K-11
-80,-75,-71,-86,-82,-75,-88,-84,-93,-70,-93,-95,0,3,K-11
-89,-80,-62,-79,-81,-76,-82,-83,-99,-75,-91,-90,0,3,K-11
-84,-83,-71,-83,-81,-79,-86,-87,-90,-81,-95,-92,0,3,K-11
-76,-81,-58,-77,-83,-86,-87,-91,-92,-86,-87,-88,0,3,K-11
-73,-80,-57,-90,-86,-84,-85,-85,-93,-85,-91,-98,0,3,K-11
-74,-77,-72,-86,-81,-80,-87,-83,-87,-80,-99,-87,0,3,K-11
-89,-80,-57,-77,-84,-87,-88,-92,-93,-86,-88,-88,0,3,K-11
-87,-81,-60,-83,-85,-75,-82,-83,-94,-81,-91,-93,0,3,K-11
-74,-88,-56,-86,-89,-81,-93,-82,-86,-76,-87,-99,0,3,K-11
-89,-81,-58,-76,-83,-86,-87,-90,-92,-86,-87,-88,0,3,K-11
-83,-76,-72,-78,-82,-75,-84,-82,-88,-79,-97,-97,0,3,K-11
-90,-76,-72,-88,-75,-77,-90,-79,-82,-81,-90,-93,0,3,K-11
-80,-83,-70,-87,-75,-80,-89,-91,-86,-72,-86,-89,0,3,K-11
-76,-80,-59,-82,-93,-76,-85,-85,-94,-86,-92,-89,0,3,K-11
-79,-79,-70,-87,-79,-72,-80,-82,-80,-73,-86,-86,0,3,K-11
-82,-80,-69,-84,-75,-81,-86,-91,-91,-74,-85,-89,0,3,K-11
-81,-88,-59,-88,-84,-91,-91,-81,-83,-78,-94,-85,0,3,K-11
-88,-77,-69,-79,-75,-76,-83,-79,-82,-75,-97,-94,0,3,K-11
-76,-80,-58,-83,-85,-81,-84,-83,-93,-86,-92,-89,0,3,K-11
-84,-83,-68,-79,-75,-77,-93,-83,-82,-81,-90,-88,0,3,K-11
-81,-82,-70,-78,-76,-73,-94,-85,-87,-78,-87,-96,0,3,K-11
-72,-81,-58,-84,-90,-78,-84,-92,-92,-85,-94,-90,0,3,K-11
-75,-79,-60,-81,-85,-76,-81,-79,-92,-75,-89,-91,0,3,K-11
-91,-79,-90,-79,-86,-78,-87,-88,-94,-85,-88,-87,0,3,K-11
-78,-93,-63,-89,-81,-82,-86,-81,-96,-80,-91,-96,0,3,K-11
-78,-78,-70,-76,-84,-69,-84,-86,-90,-79,-91,-95,0,4,H-01
-85,-76,-75,-77,-82,-78,-78,-89,-82,-88,-82,-91,0,4,H-01
-87,-81,-73,-76,-81,-81,-81,-87,-93,-79,-81,-95,0,4,H-01
-83,-80,-67,-74,-79,-75,-80,-80,-81,-81,-85,-89,0,4,H-01
-77,-85,-73,-76,-81,-76,-82,-89,-85,-82,-85,-91,0,4,H-01
-84,-92,-61,-76,-86,-71,-88,-98,-86,-97,-97,-89,0,4,H-01
-84,-80,-65,-76,-86,-86,-90,-84,-87,-89,-91,-96,0,4,H-01
-79,-78,-70,-73,-82,-73,-86,-93,-89,-77,-92,-92,0,4,H-01
-84,-85,-65,-71,-81,-70,-79,-94,-87,-88,-89,-88,0,4,H-01
-98,-78,-74,-73,-75,-75,-80,-81,-80,-76,-88,-89,0,4,H-01
-75,-89,-61,-84,-81,-81,-91,-81,-96,-82,-88,-91,0,4,H-01
-75,-84,-57,-87,-89,-81,-94,-81,-86,-80,-88,-92,0,4,H-01
-85,-79,-71,-76,-82,-70,-78,-86,-89,-77,-83,-92,0,4,H-01
-77,-87,-75,-71,-85,-80,-78,-98,-91,-88,-94,-90,0,4,H-01
-89,-85,-84,-78,-78,-81,-81,-87,-95,-81,-88,-89,0,4,H-01
-77,-85,-73,-76,-89,-85,-88,-90,-88,-83,-85,-88,0,4,H-01
-90,-80,-74,-77,-84,-85,-82,-85,-82,-82,-83,-88,0,4,H-01
-90,-77,-81,-77,-81,-79,-80,-87,-84,-88,-84,-94,0,4,H-01
-82,-84,-57,-91,-89,-71,-78,-81,-97,-78,-88,-94,0,4,H-01
-79,-78,-70,-73,-82,-70,-78,-85,-87,-78,-91,-91,0,4,H-01
-85,-78,-73,-78,-81,-78,-80,-88,-84,-84,-83,-93,0,4,H-01
-83,-78,-76,-79,-84,-85,-81,-86,-81,-84,-82,-88,0,4,H-01
-85,-96,-70,-72,-85,-84,-97,-84,-87,-86,-84,-87,0,4,H-01
-88,-78,-71,-76,-83,-82,-82,-89,-84,-82,-86,-87,0,4,H-01
-77,-78,-71,-76,-82,-77,-94,-88,-87,-85,-84,-91,0,4,H-01
-85,-81,-65,-77,-82,-86,-85,-81,-95,-86,-88,-91,0,4,H-01
-83,-81,-65,-78,-82,-72,-88,-90,-86,-83,-87,-93,0,4,H-01
-76,-80,-58,-84,-89,-72,-81,-84,-90,-78,-92,-92,0,4,H-01
-82,-80,-62,-82,-84,-80,-96,-82,-90,-78,-91,-87,0,4,H-01
-89,-88,-77,-77,-77,-81,-78,-88,-80,-80,-86,-87,0,4,H-01
