rssi0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,x,y,label
-69,-80,-75,-87,-89,-90,-85,-75,-88,-89,-91,-100,3,1,K-07
-71,-71,-86,-73,-77,-73,-73,-89,-90,-90,-89,-93,1,8,L-09
-86,-78,-74,-96,-76,-55,-73,-82,-77,-82,-79,-89,3,4,H-04
-88,-81,-82,-85,-92,-83,-60,-84,-79,-75,-79,-88,4,5,L-02
-74,-83,-60,-86,-84,-81,-81,-82,-91,-87,-81,-90,1,3,K-12
-87,-82,-78,-83,-66,-75,-81,-98,-94,-84,-95,-101,2,8,L-10
-80,-70,-88,-74,-69,-77,-80,-87,-80,-84,-90,-101,2,6,L-06
-87,-80,-71,-91,-83,-81,-74,-80,-69,-65,-72,-81,7,4,H-08
-70,-71,-79,-88,-95,-81,-86,-69,-90,-97,-92,-92,3,0,K-04
-84,-78,-72,-74,-75,-67,-85,-82,-92,-95,-98,-97,0,4,H-01
-80,-85,-70,-72,-76,-72,-89,-94,-87,-81,-87,-96,1,4,H-02
-78,-75,-82,-82,-70,-76,-83,-89,-93,-79,-92,-99,2,8,L-10
-72,-83,-82,-88,-95,-82,-86,-72,-92,-84,-92,-95,3,1,K-07
-85,-76,-78,-95,-84,-72,-62,-84,-74,-74,-88,-85,6,4,H-07
-80,-70,-70,-79,-63,-65,-72,-86,-79,-92,-93,-95,3,6,L-03
-85,-76,-78,-90,-96,-70,-59,-79,-71,-69,-84,-82,5,4,H-06
-90,-75,-71,-71,-84,-84,-81,-84,-84,-87,-86,-100,1,7,L-07
-80,-79,-78,-70,-85,-81,-68,-88,-80,-88,-88,-100,1,8,L-09
-75,-77,-77,-73,-86,-77,-92,-85,-85,-86,-92,-98,2,0,K-03
-90,-85,-78,-98,-95,-88,-74,-76,-61,-57,-80,-66,10,4,H-11
-76,-70,-69,-75,-86,-71,-76,-91,-84,-79,-90,-103,2,6,L-06
-88,-74,-79,-91,-85,-77,-72,-82,-68,-59,-72,-87,7,4,H-08
-76,-70,-72,-78,-88,-75,-77,-89,-85,-80,-89,-103,2,6,L-06
-90,-78,-71,-74,-90,-68,-87,-81,-90,-99,-91,-93,0,4,H-01
-68,-80,-68,-93,-74,-64,-88,-95,-100,-86,-92,-101,2,3,K-13
-74,-72,-91,-91,-86,-78,-87,-76,-79,-75,-90,-92,3,2,K-10
-84,-81,-81,-80,-65,-71,-68,-94,-77,-86,-90,-92,3,6,L-03
-69,-72,-77,-77,-85,-80,-80,-83,-95,-85,-90,-99,2,1,K-06
-87,-69,-70,-79,-79,-70,-74,-83,-99,-87,-86,-82,2,4,H-03
-78,-84,-91,-93,-67,-76,-81,-88,-94,-86,-92,-101,2,8,L-10
-80,-70,-83,-87,-95,-72,-61,-83,-81,-75,-78,-87,4,5,L-02
-71,-73,-79,-77,-94,-72,-74,-86,-82,-89,-96,-97,1,8,L-09
-90,-77,-92,-90,-92,-75,-59,-76,-72,-70,-87,-99,5,4,H-06
-87,-83,-82,-90,-92,-91,-73,-78,-70,-57,-72,-77,8,4,H-09
-93,-82,-78,-98,-94,-87,-75,-82,-65,-66,-80,-76,11,4,H-12
-74,-79,-76,-88,-94,-89,-85,-72,-88,-88,-89,-96,3,1,K-07
-73,-77,-78,-73,-85,-78,-92,-78,-85,-87,-92,-94,2,0,K-03
-96,-77,-73,-77,-85,-71,-84,-86,-79,-80,-86,-100,1,4,H-02
-69,-79,-79,-86,-87,-80,-86,-66,-92,-96,-90,-94,3,0,K-04
-79,-89,-74,-68,-78,-72,-81,-96,-88,-82,-87,-91,1,4,H-02
-76,-79,-57,-83,-86,-84,-84,-95,-93,-86,-90,-97,0,3,K-11
-86,-80,-83,-88,-88,-90,-67,-82,-61,-56,-70,-85,8,4,H-09
-82,-80,-81,-89,-82,-82,-85,-81,-82,-87,-80,-96,4,6,L-04
-86,-76,-78,-91,-85,-70,-63,-80,-68,-74,-79,-84,6,4,H-07
-67,-81,-75,-80,-82,-83,-90,-85,-83,-82,-95,-100,1,2,K-08
-65,-83,-76,-78,-86,-76,-89,-69,-91,-95,-92,-92,3,0,K-04
-69,-69,-84,-97,-89,-79,-95,-82,-99,-91,-93,-102,2,0,K-03
-78,-89,-85,-90,-66,-76,-80,-91,-97,-78,-92,-98,2,8,L-10
-80,-73,-82,-85,-67,-71,-72,-84,-89,-85,-77,-91,2,7,L-08
-96,-73,-72,-70,-75,-85,-82,-83,-83,-99,-88,-97,1,7,L-07
-71,-75,-75,-91,-86,-84,-82,-75,-88,-93,-98,-97,1,0,K-02
-72,-75,-70,-79,-83,-74,-85,-73,-77,-86,-96,-95,2,2,K-09
-83,-71,-79,-86,-66,-77,-81,-85,-81,-92,-78,-99,3,7,L-05
-71,-74,-61,-86,-79,-79,-92,-82,-94,-82,-81,-93,1,3,K-12
-75,-90,-57,-77,-78,-81,-94,-82,-87,-79,-89,-87,0,3,K-11
-94,-81,-69,-72,-79,-64,-85,-83,-95,-95,-89,-91,2,3,K-13
-67,-81,-85,-89,-85,-77,-83,-74,-99,-80,-90,-100,2,1,K-06
-87,-74,-77,-95,-84,-82,-61,-82,-73,-64,-88,-83,6,4,H-07
-76,-82,-76,-78,-87,-77,-87,-69,-89,-94,-99,-94,3,0,K-04
-100,-83,-68,-89,-74,-65,-83,-90,-99,-99,-89,-90,2,3,K-13
-95,-75,-71,-71,-74,-85,-81,-87,-84,-87,-87,-100,1,7,L-07
-83,-81,-82,-81,-64,-71,-93,-84,-81,-90,-79,-98,3,7,L-05
-88,-77,-75,-72,-75,-92,-84,-84,-81,-89,-88,-97,1,7,L-07
-79,-80,-86,-83,-64,-72,-73,-87,-89,-82,-80,-90,2,7,L-08
-91,-73,-82,-94,-88,-84,-74,-87,-82,-76,-88,-90,4,6,L-04
-88,-66,-75,-79,-85,-69,-76,-78,-78,-75,-92,-89,4,5,L-02
-93,-77,-96,-91,-68,-69,-88,-87,-87,-73,-85,-99,3,5,L-01
-68,-84,-78,-96,-87,-89,-97,-74,-86,-91,-94,-94,1,1,K-05
-81,-71,-82,-87,-90,-83,-60,-84,-72,-74,-82,-87,4,5,L-02
-92,-74,-78,-93,-68,-68,-88,-85,-85,-87,-79,-86,3,5,L-01
-83,-84,-80,-84,-69,-70,-91,-86,-86,-74,-85,-95,3,5,L-01
-87,-76,-77,-92,-84,-72,-61,-83,-68,-75,-80,-83,6,4,H-07
-79,-78,-72,-75,-75,-69,-79,-82,-87,-76,-85,-92,0,4,H-01
-87,-75,-77,-90,-84,-83,-62,-81,-68,-65,-87,-85,6,4,H-07
-77,-66,-76,-84,-92,-82,-86,-69,-90,-89,-96,-95,3,0,K-04
-79,-70,-70,-77,-77,-78,-74,-84,-93,-84,-85,-83,2,4,H-03
-80,-82,-82,-85,-91,-82,-60,-83,-78,-74,-78,-84,4,5,L-02
-92,-77,-81,-87,-80,-83,-61,-79,-81,-75,-82,-87,4,5,L-02
-84,-79,-79,-87,-68,-70,-73,-84,-76,-77,-88,-100,3,5,L-01
-86,-71,-83,-84,-82,-68,-64,-83,-72,-78,-99,-82,4,4,H-05
-83,-73,-95,-84,-67,-76,-75,-84,-88,-83,-78,-91,2,7,L-08
-74,-80,-78,-75,-78,-82,-68,-87,-82,-94,-89,-96,1,8,L-09
-85,-83,-78,-86,-67,-67,-74,-86,-75,-77,-96,-92,3,5,L-01
-83,-72,-89,-85,-69,-68,-72,-78,-84,-81,-92,-90,3,5,L-01
-68,-83,-77,-82,-78,-83,-87,-81,-93,-99,-91,-95,1,2,K-08
-72,-75,-69,-79,-82,-86,-83,-73,-77,-83,-95,-95,2,2,K-09
-74,-77,-81,-80,-87,-77,-94,-81,-90,-89,-91,-100,2,0,K-03
-93,-78,-75,-87,-87,-76,-60,-81,-73,-70,-87,-103,5,4,H-06
-83,-88,-83,-82,-64,-77,-90,-88,-81,-89,-82,-97,3,7,L-05
-70,-75,-87,-91,-88,-84,-97,-85,-98,-94,-93,-98,0,0,K-01
-80,-79,-81,-80,-65,-72,-89,-89,-80,-92,-80,-98,3,7,L-05
-82,-76,-94,-88,-85,-79,-70,-81,-69,-67,-70,-77,7,4,H-08
-69,-85,-76,-84,-91,-88,-82,-74,-98,-90,-91,-98,1,0,K-02
-67,-83,-75,-78,-83,-82,-90,-91,-85,-86,-98,-99,1,2,K-08
-74,-68,-82,-87,-91,-68,-69,-91,-84,-88,-86,-92,1,8,L-09
-79,-83,-89,-96,-75,-75,-86,-88,-93,-89,-99,-99,2,8,L-10
-89,-86,-88,-92,-87,-95,-84,-87,-60,-67,-74,-74,10,4,H-11
-69,-81,-79,-76,-86,-81,-89,-70,-81,-94,-91,-94,3,0,K-04
-89,-84,-90,-92,-96,-80,-87,-84,-60,-67,-66,-68,10,4,H-11
-86,-82,-56,-83,-78,-85,-88,-90,-88,-81,-94,-86,0,3,K-11
-87,-72,-85,-96,-83,-72,-62,-79,-81,-74,-81,-84,6,4,H-07
-66,-78,-79,-99,-93,-90,-88,-75,-88,-94,-91,-93,1,1,K-05
-90,-83,-83,-91,-88,-81,-72,-95,-67,-49,-71,-76,8,4,H-09
-90,-81,-86,-98,-89,-99,-78,-89,-69,-68,-72,-75,11,4,H-12
-73,-72,-79,-76,-80,-78,-96,-74,-95,-81,-91,-97,2,1,K-06
-68,-72,-89,-76,-86,-79,-94,-73,-94,-81,-92,-99,2,1,K-06
-95,-76,-69,-80,-70,-69,-71,-82,-77,-83,-92,-90,3,5,L-01
-73,-81,-58,-83,-85,-84,-84,-86,-93,-86,-89,-89,0,3,K-11
-77,-66,-68,-77,-87,-71,-77,-91,-82,-84,-98,-98,2,6,L-06
-80,-71,-74,-82,-73,-56,-80,-80,-82,-74,-80,-77,3,4,H-04
-83,-76,-70,-87,-93,-80,-66,-76,-65,-66,-72,-85,7,4,H-08
-71,-72,-86,-83,-85,-82,-92,-71,-91,-99,-95,-96,3,1,K-07
-67,-78,-71,-73,-78,-63,-86,-80,-96,-89,-88,-101,2,3,K-13
-83,-89,-82,-80,-71,-71,-96,-84,-89,-87,-83,-97,3,7,L-05
-67,-76,-90,-92,-87,-87,-86,-76,-96,-92,-90,-94,1,1,K-05
-76,-70,-87,-78,-69,-76,-76,-93,-84,-84,-89,-103,2,6,L-06
